ediba;abide;ediba$;
lennahc;channel;lennahc$;
pahc;chap;pahc$;
rahc;char;rahc$;
tahc;chat;tahc$;
pihc;chip;pihc$;
lesihc;chisel;lesihc$;
pohc;chop;pohc$;
guhc;chug;guhc$;
palc;clap;palc$;
pilc;clip;pilc$;
golc;clog;golc$;
tolc;clot;tolc$;
bulc;club;bulc$;
timmoc;commit;timmoc$;
lepmoc;compel;lepmoc$;
noc;con;noc$;
rucnoc;concur;rucnoc$;
refnoc;confer;refnoc$;
lortnoc;control;lortnoc$;
rats-oc;co-star;rats-oc$;
lesnuoc;counsel;lesnuoc$;
tolpretnuoc;counterplot;tolpretnuoc$;
laitram-truoc;court-martial;laitram-truoc$;
barc;crab;barc$;
marc;cram;marc$;
birc;crib:birc$;
porc;crop;porc$;
tucssorc;crosscut;tucssorc$;
legduc;cudgel;legduc$;
puc;cup;puc$;
bad;dab;bad$;
mad;dam;mad$;
rabed;debar;rabed$;
gubed;debug;gubed$;
lortnoced;decontrol;lortnoced$;
refed;defer;refed$;
rumed;demur;rumed$;
reted;deter;reted$;
lived;devil;lived$;
laid;dial;laid$;
mid;dim;mid$;
nid;din;nid$;
pid;dip;pid$;
rabsid;disbar;rabsid$;
dubsid;disbud;dubsid$;
retnisid;disinter;retnisid$;
lepsid;dispel;lepsid$;
god;dog;god$;
nod;don;nod$;
tod;dot;tod$;
lewod;dowel;lewod$;
gard;drag;gard$;
pird;drip;pird$;
levird;drivel;levird$;
pord;drop;pord$;
burd;drub;burd$;
gurd;drug;gurd$;
murd;drum;murd$;
bud;dub;bud$;
leud;duel;leud$;
nud;dun;nud$;
pordsevae;eavesdrop;pordsevae$;
debme;embed;debme$;
subme;embus;subme$;
time;emit;time$;
lenapme;empanel;lenapme$;
lemane;enamel;lemane$;
lorne;enrol;lorne$;
larhtne;enthral;larhtne$;
partne;entrap;partne$;
lauqe;equal;lauqe$;
piuqe;equip;piuqe$;
lecxe;excel;lecxe$;
lepxe;expel;lepxe$;
lotxe;extol;lotxe$;
gaf;fag;gaf$;
naf;fan;naf$;
bif;fib;bif$;
tif;fit;tif$;
galf;flag;galf$;
palf;flap;palf$;
pilf;flip;pilf$;
tilf;flit;tilf$;
golf;flog;golf$;
polf;flop;polf$;
bof;fob;bof$;
gof;fog;gof$;
girf;frig;girf$;
lovirf;frivol;lovifr$;
leuf;fuel;leuf$;
lifluf;fulfil;lifluf$;
ruf;fur;ruf$;
bag;gab;bag$;
dag;gad;dag$;
gag;gag;gag$;
sag;gas;sag$;
leg;gel;leg$;
neg;gen;neg$;
tulg;glut;tulg$;
barg;grab;barg$;
levarg;gravel;levarg$;
nirg;grin;nirg$;
pirg;grip;pirg$;
tirg;grit;tirg$;
levorg;grovel;levorg$;
burg;grub;burg$;
mug;gum;mug$;
nug;gun;nug$;
tug;gut;tug$;
pyg;gyp;pyg$;
mah;ham;mah$;
pacidnah;handicap;pacidnah$;
meh;hem;meh$;
puccih;hiccup;puccih$;
bonboh;hobnob;bonboh$;
sucoh;hocus;sucoh$;
sucop-sucoh;hocus-pocus;sucop-sucoh$;
goh;hog;goh$;
poh;hop;poh$;
pihwesroh;horsewhip;pihwesroh$
guh;hug;guh$;
muh;hum;muh$;
gubmuh;humbug;gubmuh$;
lenapmi;impanel;lenapmi$;
lepmi;impel;lepmi$;
lirepmi;imperil;lirepmi$;
rucni;incur;rucni$;
refni;infer;refni$;
litsni;instil;litsni$;
retni;inter;retni$;
timretni;intermit;timretni$;
gaj;jag;gaj$;
baj;jab;baj$;
maj;jam;maj$;
napaj;japan;napaj$;
raj;jar;raj$;
tej;jet;tej$;
bij;jib;bij$;
gij;jig;gij$;
goj;jog;goj$;
boj;job;boj$;
toj;jot;toj$;
guj;jug;guj$;
tuj;jut;tuj$;
dik;kid;dik$;
pandik;kidnap;pandik$;
pik;kip;pik$;
tik;kit;tik$;
paceenk;kneecap;paceenk$;
tink;knit;tink$;
tonk;knot;tonk$;
lebal;label;lebal$;
gal;lag;gal$;
galylal;lalylag;galylal$;
mal;lam;mal$;
pal;lap;pal$;
level;level;level$;
lebil;libel;lebil$;
bol;lob;bol$;
gol;log;gol$;
pol;lop;pol$;
tol;lot;tol$;
gul;lug;gul$;
nam;man;nam$;
timunam;manumit;timunam$;
pam;map;pam$;
ram;mar;ram$;
lahsram;marshal;lahsram$;
levram;marvel;levram$;
tam;mat;tam$;
latem;metal;latem$;
tifsim;misfit;tifsim$;
tihsim;mishit;tihsim$;
lebalsim;mislabel;lebalsim$;
bom;mob;bom$;
ledom;model;ledom$;
pom;mop;pom$;
dum;mud;dum$;
gum;mug;gum$;
ban;nab;ban$;
gan;nag;gan$;
pan;nap;pan$;
ten;net;ten$;
lekcin;nickel;lekcin$;
pin;nip;pin$;
don;nod;don$;
sulpnon;nonplus;sulpnon$;
rucco;occur;rucco$;
tesffo;offset;tesffo$;
timo;omit;timo$;
porctuo;outcrop;porctuo$;
tiftuo;outfit;tiftuo$;
nugtuo;outgun;nugtuo$;
namtuo;outman;namtuo$;
napstuo;outspan;napstuo$;
pirtstuo;outstrip;pirtstuo$;
tiwtuo;outwit;tiwtuo$;
dibrevo;overbid;dibrevo$;
palrevo;overlap;palrevo$;
tesrevo;overset;tesrevo$;
petsrevo;overstep;petsrevo$;
potrevo;overtop;potrevo$;
dap;pad;dap$;
lap;pal;lap$;
nap;pan;nap$;
lenap;panel;lenap$;
lecrap;parcel;lecrap$;
tap;pat;tap$;
lortap;patrol;lortap$;
ladep;pedal;ladep$;
gep;peg;gep$;
nep;pen;nep$;
licnep;pencil;licnep$;
pep;pep;pep$;
timrep;permit;timrep$;
tep;pet;tep$;
gofittep;pettifog;gofittep$;
tesotohp;photoset;tesotohp$;
tatsotohp;photostat;tatsotohp$;
gip;pig;gip$;
nip;pin;nip$;
pip;pip;pip$;
tip;pit;tip$;
nalp;plan;nalp$;
dolp;plod;dolp$;
tolp;plot;tolp$;
gulp;plug;gulp$;
dop;pod;dop$;
lemmop;pommel;lemmop$;
pop;pop;pop$;
top;pot;top$;
referp;prefer;referp$;
mirp;prim;mirp$;
dorp;prod;dorp$;
margorp;program;margorp$;
porp;prop;porp$;
leporp;propel;leporp$;
gup;pug;gup$;
lemmup;pummel;lemmup$;
nup;pun;nup$;
pup;pup;pup$;
lerrauq;quarrel;lerrauq$;
piuq;quip;piuq$;
ziuq;quiz;ziuq$;
gar;rag;gar$;
mar;ram;mar$;
par;rap;par$;
tar;rat;tar$;
levar;ravel;levar$;
leber;rebel;leber$;
pacer;recap;pacer$;
timmocer;recommit;timmocer$;
rucer;recur;rucer$;
tucer;recut;tucer$;
laider;redial;laider$;
piuqe-er;re-equip;piuqe-er$;
nafer;refan;nafer$;
refer;refer;refer$;
tifer;refit;tifer$;
leufer;refuel;leufer$;
giger;regig;giger$;
terger;regret;terger$;
retnier;reinter;retnier$;
lebaler;relabel;lebaler$;
teler;relet;teler$;
timer;remit;timer$;
ledomer;remodel;ledomer$;
leper;repel;leper$;
tolper;replot;tolper$;
gulper;replug;gulper$;
toper;repot;toper$;
margorper;reprogram;margorper$;
pihser;reship;pihser$;
ter;ret;ter$;
timsnarter;retransmit;timsnarter$;
mirter;retrim;mirter$;
ver;rev;ver$;
lever;revel;lever$;
bir;rib;bir$;
tehcocir;ricochet;tehcocir$;
gir;rig;gir$;
pir;rip;pir$;
lavir;rival;lavir$;
bor;rob;bor$;
tor;rot;tor$;
bur;rub;bur$;
tur;rut;tur$;
gas;sag;gas$;
gabdnas;sandbag;gabdnas$;
pas;sap;pas$;
bacs;scab;bacs$;
macs;scam;macs$;
nacs;scan;nacs$;
racs;scar;racs$;
tacs;scat;tacs$;
plehs;shelp;plehs$;
plehcs;schelp;plehcs$;
garcs;scrag;garcs$;
marcs;scram;marcs$;
parcs;scrap;parcs$;
burcs;scrub;burcs$;
ducs;scud;ducs$;
mucs;scum;mucs$;
mahs;sham;mahs$;
nihs;shin;nihs$;
pihs;ship;pihs$;
tihs;shit;tihs$;
pohs;shop;pohs$;
levohs;shovel;levohs$;
derhs;shred;derhs$;
levirhs;shrivel;levirhs$;
gurhs;shrug;gurhs$;
nuhs;shun;nuhs$;
langis;signal;langis$;
nis;sin;nis$;
pis;sip;pis$;
diks;skid;diks$;
miks;skim;miks$;
niks;skin;niks$;
piks;skip;piks$;
garks;skrag;garks$;
gals;slag;gals$;
mals;slam;mals$;
pals;slap;pals$;
tals;slat;tals$;
mils;slim;mils$;
pils;slip;pils$;
bols;slob;bols$;
gols;slog;gols$;
pols;slop;pols$;
tols;slot;tols$;
guls;slug;guls$;
ruls;slur;ruls$;
gans;snag;gans$;
pans;snap;pans$;
pins;snip;pins$;
levins;snivel;levins$;
gons;snog;gons$;
buns;snub;buns$;
guns;snug;guns$;
bos;sob;bos$;
dos;sod;dos$;
pos;sop;pos$;
naps;span;naps$;
raps;spar;raps$;
larips;spiral;larips$;
tops;spot;tops$;
girps;sprig;girps$;
dups;spud;dups$;
rups;spur;rups$;
tauqs;squat;tauqs$;
bats;stab;bats$;
rats;star,rats$;
mets;stem;mets$;
licnets;stencil;licnets$;
pets;step;pets$;
tets;stet;tets$;
rits;stir;rits$;
pots;stop;pots$;
parts;strap;parts$;
pirts;strip;pirts$;
ports;strop;ports$;
murts;strum;murts$;
turts;strut;turts$;
buts;stub;buts$;
duts;stud;duts$;
nuts;stun;nuts$;
bus;sub;bus$;
timbus;submit;timbus$;
mus;sum;mus$;
nus;sun;nus$;
pus;sup;pus$;
baws;swab;baws$;
paws;swap;paws$;
taws;swat;taws$;
giws;swig;giws$;
leviws;swivel;leviws$;
pows;swop;pows$;
tows;swot;tows$;
gat;tag;gat$;
nat;tan;nat$;
pat;tap;pat$;
rat;tar;rat$;
tat;tat;tat$;
niht;thin;niht$;
borht;throb;borht$;
duht;thud;duht$;
nit;tin;nit$;
lesnit;tinsel;lesnit$;
pit;tip;pit$;
got;tog;got$;
pot;top;pot$;
tot;tot;tot$;
latot;total;latot$;
lewot;towel;lewot$;
refsnart;transfer;refsnart$;
pihsnart;tranship;pihsnart$;
timsnart;transmit;timsnart$;
part;trap;part$;
levart;travel;levart$;
kert;trek;kert$;
napert;trepan;napert$;
girt;trig;girt$;
mirt;trim;mirt$;
pirt;trip;pirt$;
tort;trot;tort$;
but;tub;but$;
gut;tug;gut$;
lennut;tunnel;lennut$;
put;tup;put$;
giwt;twig;giwt$;
niwt;twin;niwt$;
tiwt;twit;tiwt$;
tes-epyt;type-set;tes-epyt$;
pacnu;uncap;pacnu$;
golcnu;unclog;golcnu$;
dibrednu;underbid;dibrednu$;
tucrednu;undercut;tucrednu$;
niprednu;underpin;niprednu$;
tifnu;unfit;tifnu$;
tonknu;unknot;tonknu$;
namnu;unman;namnu$;
nipnu;unpin;nipnu$;
gulpnu;unplug;gulpnu$;
levarnu;unravel;levarnu$;
pihsnu;unship;pihsnu$;
potsnu;unstop;potsnu$;
partsnu;unstrap;partsnu$;
parwnu;unwrap;parwnu$;
pu;up;pu$;
tav;vat;tav$;
gev;veg;gev$;
tev;vet;tev$;
lautciv;victual;lautciv$;
daw;wad;daw$;
gaw;wag;gaw$;
raw;war;raw$;
dew;wed;dew$;
tew;wet;tew$;
tehw;whet;tehw$;
pihw;whip;pihw$;
pohw;whop;pohw$;
pihsrow;worship;pihsrow$;
parw;wrap;parw$;
pay;yap;pay$;
ney;yen;ney$;
piy;yip;piy$;
ledoy;yodel;ledoy$;
paz;zap;paz$;
gazgiz;zigzag;gazgiz$;
piz;zip;piz$;
yalp;play;ya;
yortsed;destroy;yo;
yevrus;survey;ye;
yrrac;carry;y;
eil;lie;ei;
evol;love;e;
xedni;index;x;
hsinab;banish;hs;
hcrimseb;besmirch;hc;
saib;bias;s;
zzif;fizz;z;
mrif;firm;;
